PID;USUARIO;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TEMPO+;COMANDO
116;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;vfio-irqfd-clea
117;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;ipv6_addrconf
126;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kstrp
129;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;zswap-shrink
130;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/u65:0
135;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;charger_manager
186;root;20;0;0;0;0;S;0,0;0,0;0:00.00;scsi_eh_0
187;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;scsi_tmf_0
188;root;20;0;0;0;0;S;0,0;0,0;0:00.00;scsi_eh_1
189;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;scsi_tmf_1
190;root;20;0;0;0;0;S;0,0;0,0;0:00.00;scsi_eh_2
191;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;scsi_tmf_2
192;root;20;0;0;0;0;S;0,0;0,0;0:00.00;scsi_eh_3
193;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;scsi_tmf_3
194;root;20;0;0;0;0;S;0,0;0,0;0:00.00;scsi_eh_4
195;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;scsi_tmf_4
196;root;20;0;0;0;0;S;0,0;0,0;0:00.00;scsi_eh_5
197;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;scsi_tmf_5
198;root;20;0;0;0;0;S;0,0;0,0;0:00.00;scsi_eh_6
199;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;scsi_tmf_6
200;root;20;0;0;0;0;S;0,0;0,0;0:00.00;scsi_eh_7
201;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;scsi_tmf_7
203;root;20;0;0;0;0;S;0,0;0,0;0:00.00;scsi_eh_8
204;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;scsi_tmf_8
219;root;0;-20;0;0;0;I;0,0;0,0;0:00.15;kworker/3:1H-kblockd
238;root;0;-20;0;0;0;I;0,0;0,0;0:00.47;kworker/0:1H-kblockd
240;root;0;-20;0;0;0;I;0,0;0,0;0:00.20;kworker/1:1H-kblockd
241;root;20;0;0;0;0;D;0,0;0,0;0:01.61;jbd2/sda4-8
242;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;ext4-rsv-conver
251;root;0;-20;0;0;0;I;0,0;0,0;0:00.19;kworker/2:1H-kblockd
282;root;19;-1;76668;24568;23380;S;0,0;0,3;0:01.40;systemd-journal
317;root;0;-20;0;0;0;S;0,0;0,0;0:00.02;loop0
318;root;0;-20;0;0;0;S;0,0;0,0;0:00.02;loop1
320;root;20;0;25148;4088;3276;S;0,0;0,1;0:01.43;systemd-udevd
321;root;0;-20;0;0;0;S;0,0;0,0;0:00.00;loop2
322;root;0;-20;0;0;0;S;0,0;0,0;0:00.00;loop3
323;root;0;-20;0;0;0;S;0,0;0,0;0:00.08;loop4
324;root;0;-20;0;0;0;S;0,0;0,0;0:00.01;loop5
325;root;0;-20;0;0;0;S;0,0;0,0;0:00.00;loop6
357;systemd+;20;0;24164;9164;7896;S;0,0;0,1;0:02.01;systemd-resolve
358;systemd+;20;0;90260;5492;5120;S;0,0;0,1;0:00.07;systemd-timesyn
398;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;led_workqueue
400;root;20;0;247452;6520;5920;S;0,0;0,1;0:00.28;accounts-daemon
401;root;20;0;2548;752;704;S;0,0;0,0;0:00.38;acpid
404;avahi;20;0;8532;2764;2572;S;0,0;0,0;0:00.08;avahi-daemon
405;root;20;0;18052;2828;2652;S;0,0;0,0;0:00.01;cron
406;root;20;0;36808;7072;6324;S;0,0;0,1;0:00.02;cupsd
407;message+;20;0;10016;5828;3472;S;0,0;0,1;0:01.96;dbus-daemon
408;root;20;0;346184;13896;11640;S;0,0;0,2;0:03.42;NetworkManager
413;root;20;0;81936;3524;3344;S;0,0;0,0;0:00.58;irqbalance
414;root;20;0;47952;10628;7748;S;0,0;0,1;0:00.11;networkd-dispat
422;root;20;0;250100;10512;6200;S;0,0;0,1;0:03.13;polkitd
424;syslog;20;0;224356;3168;2756;S;0,0;0,0;0:00.27;rsyslogd
425;root;20;0;1744336;11680;5148;S;0,0;0,1;0:12.67;snapd
426;root;20;0;244628;5384;5012;S;0,0;0,1;0:00.06;switcheroo-cont
427;root;20;0;16832;6924;6532;S;0,0;0,1;0:00.42;systemd-logind
429;root;20;0;392708;9584;8012;S;0,0;0,1;0:01.06;udisksd
430;root;20;0;13688;2484;2172;S;0,0;0,0;0:00.04;wpa_supplicant
434;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;cryptd
460;avahi;20;0;8352;124;0;S;0,0;0,0;0:00.00;avahi-daemon
474;root;20;0;0;0;0;S;0,0;0,0;0:00.00;ccp-1-q2
475;root;20;0;0;0;0;S;0,0;0,0;0:00.00;ccp-1-q3
476;root;20;0;0;0;0;S;0,0;0,0;0:00.00;ccp-1-q4
582;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;amd_iommu_v2
583;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;ttm_swap
591;root;-2;0;0;0;0;S;0,0;0,0;0:21.26;gfx
592;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;comp_1.0.0
593;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;comp_1.1.0
594;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;comp_1.2.0
595;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;comp_1.3.0
596;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;comp_1.0.1
597;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;comp_1.1.1
598;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;comp_1.2.1
599;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;comp_1.3.1
600;root;-2;0;0;0;0;S;0,0;0,0;0:00.02;sdma0
602;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;vcn_dec
603;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;vcn_enc0
604;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;vcn_enc1
605;root;-2;0;0;0;0;S;0,0;0,0;0:00.00;jpeg_dec
674;root;20;0;0;0;0;S;0,0;0,0;0:00.00;nv_queue
675;root;20;0;0;0;0;S;0,0;0,0;0:00.00;nv_queue
685;root;20;0;0;0;0;S;0,0;0,0;0:00.96;nvidia-modeset/
686;root;20;0;0;0;0;S;0,0;0,0;0:00.00;nvidia-modeset/
693;root;20;0;0;0;0;S;0,0;0,0;0:00.00;nvidia
694;root;20;0;0;0;0;S;0,0;0,0;0:02.88;nv_queue
734;root;20;0;0;0;0;S;0,0;0,0;0:00.00;UVM;global;queu
735;root;20;0;0;0;0;S;0,0;0,0;0:00.00;UVM;deferred;re
736;root;20;0;0;0;0;S;0,0;0,0;0:00.00;UVM;Tools;Event
772;root;20;0;180444;8964;8288;S;0,0;0,1;0:00.06;cups-browsed
779;root;20;0;126740;10632;7884;S;0,0;0,1;0:00.09;unattended-upgr
785;root;20;0;240012;5716;4996;S;0,0;0,1;0:00.07;ModemManager
786;nvidia-+;20;0;5196;1488;1384;S;0,0;0,0;0:00.00;nvidia-persiste
799;root;20;0;248532;6448;5864;S;0,0;0,1;0:00.03;gdm3
824;root;20;0;175700;5972;5972;S;0,0;0,1;0:00.01;gdm-session-wor
831;gdm;20;0;18664;8368;7592;S;0,0;0,1;0:00.15;systemd
832;gdm;20;0;168612;616;0;S;0,0;0,0;0:00.00;(sd-pam)
837;gdm;9;-11;964520;10484;9188;S;0,0;0,1;0:00.34;pulseaudio
839;gdm;39;19;520708;14652;10416;S;0,0;0,2;0:00.14;tracker-miner-f
840;gdm;20;0;172940;5408;5408;S;0,0;0,1;0:00.00;gdm-x-session
842;gdm;20;0;1167048;30820;26468;S;0,0;0,4;0:02.26;Xorg
843;rtkit;21;1;152940;2744;2588;S;0,0;0,0;0:00.12;rtkit-daemon
848;gdm;20;0;7392;3592;3276;S;0,0;0,0;0:00.04;dbus-daemon
856;whoopsie;20;0;326856;10600;9860;S;0,0;0,1;0:00.04;whoopsie
861;kernoops;20;0;11264;80;0;S;0,0;0,0;0:00.24;kerneloops
863;kernoops;20;0;11264;344;0;S;0,0;0,0;0:00.25;kerneloops
872;gdm;20;0;248656;6080;5716;S;0,0;0,1;0:00.01;gvfsd
888;gdm;20;0;312808;4680;4680;S;0,0;0,1;0:00.00;gvfsd-fuse
896;gdm;20;0;323132;7220;6420;S;0,0;0,1;0:00.24;gvfs-udisks2-vo
